filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NMC,NMCI,NMCE,WMC,AMC,NSM
src/lapack/dlasrt.c,140,0,0.0,62,0,0.0,1,0,0.0,4,41,253.0,4.0,0,1,253,0,1,1,0,44,0,0,25,32.0,32.0,25
src/lapack/dlassq.c,24,0,0.0,12,0,0.0,1,0,0.0,3,6,89.0,5.0,0,1,89,0,1,1,0,43,0,0,22,6.0,6.0,22
src/lapack/dlasv2.c,107,0,0.0,36,0,0.0,1,0,0.0,1,16,246.0,9.0,2,1,246,0,1,3,2,75,0,0,42,15.0,15.0,42
src/lapack/dlaswp.c,61,0,0.0,26,0,0.0,1,0,0.0,2,13,136.0,7.0,0,1,136,0,1,1,0,49,0,0,22,14.0,14.0,22
src/lapack/dlatrd.c,117,0,0.0,18,0,0.0,1,0,0.0,1,10,324.0,9.0,7,1,324,0,1,8,7,118,0,0,45,9.0,9.0,45
src/lapack/dorg2l.c,54,0,0.0,26,0,0.0,1,0,0.0,1,12,147.0,8.0,2,1,147,0,1,3,2,53,0,0,25,13.0,13.0,25
src/lapack/dorg2r.c,55,0,0.0,30,0,0.0,1,0,0.0,1,14,147.0,8.0,2,1,147,0,1,3,2,53,0,0,25,15.0,15.0,25
src/lapack/dorgbr.c,99,0,0.0,72,0,0.0,1,0,0.0,1,24,272.0,10.0,3,1,272,0,1,4,3,101,0,0,31,32.0,32.0,31
src/lapack/dorgl2.c,58,0,0.0,34,0,0.0,1,0,0.0,1,16,147.0,8.0,2,1,147,0,1,3,2,51,0,0,25,17.0,17.0,25
src/lapack/dorglq.c,107,0,0.0,66,0,0.0,1,0,0.0,2,22,256.0,9.0,4,1,256,0,1,5,4,77,0,0,30,27.0,27.0,30
src/lapack/dorgql.c,106,0,0.0,66,0,0.0,1,0,0.0,1,21,257.0,9.0,4,1,257,0,1,5,4,78,0,0,30,27.0,27.0,30
src/lapack/dorgqr.c,107,0,0.0,68,0,0.0,1,0,0.0,3,22,258.0,9.0,4,1,258,0,1,5,4,78,0,0,30,28.0,28.0,30
src/lapack/dorgtr.c,95,0,0.0,44,0,0.0,1,0,0.0,1,19,223.0,8.0,3,1,223,0,1,4,3,71,0,0,29,20.0,20.0,29
src/lapack/dorm2r.c,75,0,0.0,48,0,0.0,1,0,0.0,1,16,207.0,12.0,1,1,207,0,1,2,1,72,0,0,28,24.0,24.0,28
src/lapack/dormbr.c,143,0,0.0,76,0,0.0,1,0,0.0,1,27,335.0,14.0,4,1,335,0,1,5,4,109,0,0,41,34.0,34.0,41
src/lapack/dorml2.c,74,0,0.0,48,0,0.0,1,0,0.0,1,16,203.0,12.0,1,1,203,0,1,2,1,71,0,0,28,24.0,24.0,28
