filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NSM,NMC,NMCI,NMCE,WMC,AMC
instructionAPI/h/ArchSpecificFormatters.h,1,0,0.0,4,0,0.0,0,0,,10,3.666666666666666,12.393939393939391,1.2121212121212113,10,31,83,2,33,71,61,0,11167,0,0,11167,0.0,0.0
dataflowAPI/rose/rangemap.h,176,0,0.0,214,0,0.0,13,0,0.0,6,3.0786516853932597,7.179775280898875,1.0112359550561798,7,13,78,3,89,335,22,0,14097,0,0,14097,267.3,2.7
symtabAPI/src/emitElf.h,26,0,0.0,120,0,0.0,2,0,0.0,1,11.138888888888882,64.77777777777784,1.9444444444444418,18,35,394,60,36,124,308,0,13193,0,0,13193,21.0,1.4
stackwalk/h/frame.h,7,0,0.0,8,0,0.0,2,0,0.0,19,2.3582089552238807,6.611940298507463,0.7164179104477614,14,33,36,29,67,202,83,0,11128,0,0,11128,20.4,1.2
dataflowAPI/h/SymEval.h,117,0,0.0,358,0,0.0,42,0,0.0,6,5.344827586206897,21.724137931034495,1.5862068965517226,9,23,160,6,29,58,54,0,13261,0,0,13261,60.8,3.2
dataflowAPI/h/Absloc.h,96,0,0.0,854,0,0.0,7,0,0.0,21,2.8709677419354853,6.145161290322578,0.8870967741935494,6,42,36,19,62,134,70,0,10595,0,0,10595,52.8,1.2
dataflowAPI/rose/util/IntervalMap.h,144,0,0.0,290,0,0.0,23,0,0.0,3,2.0,6.475409836065578,1.3770491803278668,0,61,52,3,61,61,0,0,16745,0,0,16745,158.7,2.3
dyninstAPI/src/block.h,12,0,0.0,65,0,0.0,4,0,0.0,32,2.6,7.114285714285712,0.5142857142857142,19,26,96,2,35,79,243,0,12491,0,0,12491,9.9,1.1
common/h/Edge.h,23,0,0.0,58,0,0.0,8,0,0.0,4,2.3333333333333344,3.300000000000001,0.5333333333333333,1,19,14,4,30,49,4,0,0,0,0,0,16.5,1.1
common/h/Node.h,14,0,0.0,38,0,0.0,10,0,0.0,4,2.3703703703703716,4.87037037037037,0.5185185185185185,6,26,48,7,54,108,52,0,0,0,0,0,13.0,1.0
common/src/stats.h,22,0,0.0,4,0,0.0,8,0,0.0,18,2.1739130434782616,4.065217391304346,0.5217391304347825,4,22,19,8,46,84,13,0,6055,0,0,6055,15.0,1.0
dyninstAPI/src/registerSpace.h,33,0,0.0,329,0,0.0,1,0,0.0,29,3.176991150442477,12.699115044247746,1.2123893805309742,25,32,137,39,113,374,553,0,11357,0,0,11357,21.0,1.0
dyninstAPI/src/patch.h,9,0,0.0,4,0,0.0,4,0,0.0,19,2.15,3.149999999999999,0.55,3,16,20,9,20,37,8,0,6055,0,0,6055,7.0,1.0
