filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NMC,NMCI,NMCE,WMC,AMC,NSM
test/th5o.c,1274,1257,0.987,2290,1139,0.497,17,17,1.0,1,0.0,112.058823529412,1.35294117647059,36,2,201,3,17,383,72,377,0,0,692,37.400000000000006,2.2,692
src/H5Eint.c,930,738,0.794,1490,750,0.503,39,39,1.0,12,0.0,28.4,2.28888888888889,17,19,105,13,45,324,323,757,0,0,1483,222.3,5.7,1483
src/H5EAtest.c,129,87,0.674,298,115,0.386,10,7,0.7,2,0.0,17.6153846153846,2.30769230769231,9,13,44,3,13,46,117,177,0,0,265,28.0,2.8,265
HDF5Examples/C/H5G/h5ex_g_traverse.c,51,47,0.922,10,8,0.8,3,3,1.0,3,4.0,43.33333333333329,2.33333333333333,7,1,78,5,3,25,7,72,0,0,11,15.0,5.0,11
test/tskiplist.c,857,856,0.999,1054,571,0.542,31,31,1.0,1,0.0,43.0645161290323,1.2258064516129,8,1,93,5,31,298,8,376,0,0,527,77.5,2.5,527
test/vfd.c,2975,1999,0.672,2320,1274,0.5489999999999999,46,40,0.87,0,0.0,93.70370370370371,2.94444444444444,43,17,841,8,54,600,731,1223,0,0,1153,975.2,21.2,1153
test/vol.c,1209,770,0.637,996,472,0.474,27,27,1.0,1,0.0,58.09375,2.0,42,10,193,7,32,384,420,476,0,0,712,421.2,15.6,712
tools/lib/h5diff_array.c,2754,1019,0.37,3078,477,0.155,38,24,0.632,3,0.0,110.314285714286,3.6571428571428606,28,1,887,5,35,395,28,936,0,0,797,1025.7,26.3,797
src/H5Dcompact.c,255,182,0.7140000000000001,406,189,0.466,11,10,0.909,1,0.0,31.7142857142857,3.2857142857142896,32,12,154,4,14,125,384,230,0,0,370,64.9,5.9,370
tools/lib/h5tools_ref.c,102,86,0.843,61,35,0.574,12,12,1.0,4,0.0,15.5,1.75,14,2,45,6,12,68,28,161,0,0,12,43.2,3.6,12
src/H5B2test.c,166,115,0.693,458,169,0.369,15,11,0.733,3,0.0,17.5,2.88888888888889,16,17,134,3,18,66,272,244,0,0,282,42.0,2.8,282
tools/src/h5dump/h5dump.c,889,729,0.82,787,490,0.623,14,14,1.0,104,0.0,95.6666666666667,1.46666666666667,34,3,569,37,15,242,102,248,0,0,138,243.6,17.4,138
tools/src/h5perf/sio_engine.c,681,437,0.642,440,212,0.482,12,12,1.0,3,0.0,92.8333333333333,3.41666666666667,30,1,206,19,12,214,30,203,0,0,114,182.4,15.2,114
tools/src/misc/h5mkgrp.c,197,112,0.569,136,71,0.522,4,4,1.0,1,13.0,77.75,1.75,14,1,143,13,4,68,14,90,0,0,41,51.2,12.8,41
tools/test/perform/chunk_cache.c,199,0,0.0,148,0,0.0,7,0,0.0,0,0.0,37.875,2.25,16,2,71,4,8,86,32,67,0,0,16,42.0,6.0,16
src/H5Ctest.c,30,26,0.867,54,25,0.4629999999999999,2,2,1.0,2,4.0,28.0,2.5,11,1,33,1,2,16,11,74,0,0,82,7.0,3.5,82
tools/test/perform/perf_meta.c,305,194,0.636,230,94,0.409,11,10,0.909,1,0.0,53.5454545454545,1.54545454545455,12,1,106,21,11,146,12,152,0,0,67,155.1,14.1,67
src/H5Clog_trace.c,265,0,0.0,566,0,0.0,20,0,0.0,3,0.0,26.6,3.4,8,3,70,3,20,151,24,324,0,0,472,50.0,2.5,472
src/H5Clog_json.c,323,161,0.498,698,167,0.239,25,13,0.52,2,0.0,30.7307692307692,3.0,7,4,67,3,26,169,28,383,0,0,592,60.0,2.4,592
