filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NMC,NMCI,NMCE,WMC,AMC,NSM
SRC/pzgstrf_snode_bmod.c,34,34,1.0,4,4,1.0,1,1,1.0,0,5,109.0,8.0,4,1,109,0,1,13,4,23,0,0,9,8.0,8.0,9
SRC/pzgstrf_snode_dfs.c,30,29,0.967,12,10,0.833,1,1,1.0,0,7,72.0,10.0,1,1,72,0,1,11,1,29,0,0,9,6.0,6.0,9
SRC/pzgstrf_thread.c,114,104,0.912,38,25,0.6579999999999999,1,1,1.0,3,2,412.0,1.0,7,1,412,0,1,64,7,142,0,0,31,50.0,50.0,31
SRC/pzgstrf_thread_finalize.c,36,36,1.0,10,7,0.7,1,1,1.0,0,6,122.0,6.0,6,1,122,0,1,37,6,60,0,0,18,8.0,8.0,18
SRC/pzgstrf_thread_init.c,46,46,1.0,12,11,0.917,1,1,1.0,0,9,152.0,7.0,4,1,152,0,1,33,4,75,0,0,19,10.0,10.0,19
SRC/pzmemory.c,472,230,0.487,165,62,0.376,19,12,0.632,2,'5.52380952380952',37.9523809523809,3.19047619047619,6,5,179,5,21,180,30,123,0,0,106,125.4,6.6,106
SRC/pzutil.c,277,101,0.365,66,18,0.273,20,9,0.45,2,'3.4',21.5,6.45,4,20,57,0,20,124,80,48,0,0,89,52.0,2.6,89
SRC/qrnzcnt.c,174,174,1.0,62,61,0.984,1,1,1.0,2,2,422.0,12.0,2,1,422,0,1,4,2,174,0,0,35,39.0,39.0,35
SRC/scomplex.c,53,47,0.887,20,20,1.0,6,4,0.667,0,'3.66666666666667',12.1666666666667,1.66666666666667,0,6,27,0,6,17,0,25,0,0,31,16.200000000000003,2.7,31
SRC/scsum1.c,22,13,0.591,10,4,0.4,1,1,1.0,1,7,92.0,3.0,1,1,92,0,1,2,1,40,0,0,2,6.0,6.0,2
SRC/sgscon.c,41,33,0.805,46,29,0.63,1,1,1.0,2,2,130.0,6.0,6,1,130,0,1,12,6,61,0,0,44,24.0,24.0,44
SRC/sgsequ.c,63,53,0.841,80,68,0.85,1,1,1.0,0,21,167.0,7.0,3,1,167,0,1,6,3,78,0,0,35,25.0,25.0,35
SRC/sgsrfs.c,178,164,0.921,190,148,0.779,1,1,1.0,2,2,421.0,15.0,8,1,421,0,1,21,8,158,0,0,75,93.0,93.0,75
SRC/sgstrs.c,126,119,0.944,76,64,0.8420000000000001,2,1,0.5,1,'20.5',150.5,5.5,7,1,294,0,2,24,7,85,0,0,24,50.0,25.0,24
SRC/slacon.c,76,70,0.921,48,41,0.8540000000000001,1,1,1.0,3,29,183.0,6.0,3,1,183,0,1,4,3,67,0,0,54,19.0,19.0,54
SRC/slamch.c,314,257,0.818,146,68,0.466,7,7,1.0,0,10,137.428571428571,3.71428571428571,2,7,301,0,7,18,14,353,0,0,59,69.3,9.9,59
