filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NMC,NMCI,NMCE,WMC,AMC,NSM
SRC/creadtriple.c,65,0,0.0,24,0,0.0,2,0,0.0,2,3,63.5,4.0,2,2,113,0,2,4,4,35,0,0,44,21.0,10.5,44
SRC/csnode_bmod.c,34,34,1.0,6,6,1.0,1,1,1.0,3,2,91.0,7.0,4,1,91,0,1,10,4,36,0,0,27,8.0,8.0,27
SRC/csnode_dfs.c,42,35,0.833,20,14,0.7,1,1,1.0,2,2,67.0,8.0,2,1,67,0,1,7,2,47,0,0,27,11.0,11.0,27
SRC/csp_blas2.c,282,189,0.67,188,100,0.532,2,2,1.0,7,2,226.0,8.0,7,2,314,0,2,23,14,158,0,0,69,98.0,49.0,69
SRC/csp_blas3.c,6,6,1.0,2,2,1.0,1,1,1.0,3,2,12.0,12.0,1,1,12,0,1,2,1,117,0,0,26,2.0,2.0,26
SRC/cutil.c,270,84,0.311,88,21,0.239,18,8,0.444,17,'2.11111111111111',21.6111111111111,5.5,6,18,49,0,18,95,108,50,0,0,113,61.2,3.4,113
SRC/dcolumn_bmod.c,139,100,0.7190000000000001,38,27,0.711,1,1,1.0,0,17,302.0,9.0,5,1,302,0,1,14,5,81,0,0,30,24.0,24.0,30
SRC/dcolumn_dfs.c,108,96,0.889,48,38,0.792,1,1,1.0,2,2,207.0,12.0,3,1,207,0,1,8,3,97,0,0,28,27.0,27.0,28
SRC/dcomplex.c,73,51,0.6990000000000001,24,19,0.792,8,6,0.75,46,2,13.375,1.5,0,7,27,0,8,24,0,28,0,0,35,20.0,2.5,35
SRC/dcopy_to_ucol.c,45,38,0.8440000000000001,14,9,0.643,1,1,1.0,2,2,77.0,7.0,2,1,77,0,1,10,2,31,0,0,27,8.0,8.0,27
SRC/ddiagonal.c,84,0,0.0,42,0,0.0,2,0,0.0,2,'11.5',57.5,2.0,3,2,65,0,2,14,6,20,0,0,35,23.0,11.5,35
SRC/dGetDiagU.c,16,0,0.0,4,0,0.0,1,0,0.0,0,4,24.0,2.0,1,1,24,0,1,4,1,31,0,0,25,3.0,3.0,25
SRC/dgscon.c,42,34,0.81,46,28,0.609,1,1,1.0,3,2,86.0,7.0,6,1,86,0,1,11,6,84,0,0,40,24.0,24.0,40
SRC/dgsequ.c,63,49,0.778,80,56,0.7,1,1,1.0,4,2,111.0,7.0,3,1,111,0,1,6,3,101,0,0,31,25.0,25.0,31
SRC/dgsisx.c,235,0,0.0,208,0,0.0,1,0,0.0,2,2,332.0,20.0,16,1,332,0,1,45,16,424,0,0,82,99.0,99.0,82
SRC/dgsitrf.c,289,0,0.0,176,0,0.0,1,0,0.0,0,64,486.0,14.0,13,1,486,0,1,57,13,224,0,0,83,71.0,71.0,83
SRC/dgsrfs.c,183,166,0.907,194,150,0.773,1,1,1.0,0,60,321.0,15.0,10,1,321,0,1,22,10,183,0,0,75,94.0,94.0,75
SRC/dgssv.c,58,40,0.69,38,19,0.5,1,1,1.0,0,11,109.0,9.0,9,1,109,0,1,25,9,152,0,0,48,21.0,21.0,48
SRC/dgssvx.c,193,164,0.85,186,137,0.737,1,1,1.0,0,58,287.0,22.0,15,1,287,0,1,40,15,380,0,0,70,89.0,89.0,70
SRC/dgstrf.c,142,136,0.958,84,65,0.774,1,1,1.0,6,2,269.0,14.0,13,1,269,0,1,50,13,228,0,0,58,33.0,33.0,58
SRC/dgstrs.c,126,116,0.921,98,75,0.765,2,1,0.5,8,'2.5',121.5,5.5,5,1,236,0,2,24,5,97,0,0,42,60.0,30.0,42
SRC/dlacon2.c,75,68,0.907,48,41,0.8540000000000001,1,1,1.0,3,29,166.0,7.0,3,1,166,0,1,4,3,97,0,0,47,27.0,27.0,47
SRC/dlangs.c,33,26,0.7879999999999999,40,24,0.6,1,1,1.0,5,16,53.0,2.0,1,1,53,0,1,4,1,68,0,0,45,17.0,17.0,45
SRC/dlaqgs.c,36,34,0.944,26,24,0.923,1,1,1.0,4,2,64.0,7.0,2,1,64,0,1,5,2,89,0,0,27,14.0,14.0,27
SRC/dldperm.c,28,0,0.0,22,0,0.0,1,0,0.0,2,'5.66666666666667',229.333333333333,8.0,2,1,542,0,3,7,2,101,0,0,39,17.0,17.0,39
SRC/dmach.c,31,13,0.419,22,7,0.318,1,1,1.0,0,13,83.0,1.0,2,1,83,0,1,3,2,43,0,0,37,12.0,12.0,37
SRC/dmemory.c,371,247,0.6659999999999999,125,74,0.5920000000000001,17,13,0.765,36,'3.68421052631579',31.5789473684211,3.84210526315789,5,7,145,0,19,147,35,96,0,0,105,83.30000000000001,4.9,105
SRC/dmyblas2.c,123,123,1.0,28,28,1.0,3,3,1.0,0,'6.66666666666667',59.0,4.66666666666667,0,3,91,0,3,3,0,43,0,0,0,17.1,5.7,0
SRC/dpanel_bmod.c,200,166,0.83,70,53,0.757,1,1,1.0,3,2,396.0,10.0,5,1,396,0,1,13,5,90,0,0,35,42.0,42.0,35
SRC/dpanel_dfs.c,78,78,1.0,28,27,0.964,1,1,1.0,0,19,196.0,15.0,2,1,196,0,1,9,2,87,0,0,25,24.0,24.0,25
SRC/dpivotgrowth.c,37,37,1.0,28,27,0.964,1,1,1.0,3,2,66.0,5.0,2,1,66,0,1,7,2,52,0,0,34,10.0,10.0,34
SRC/dpivotL.c,63,63,1.0,34,32,0.941,1,1,1.0,2,2,129.0,9.0,1,1,129,0,1,8,1,68,0,0,28,22.0,22.0,28
SRC/dpruneL.c,51,51,1.0,26,25,0.962,1,1,1.0,2,2,117.0,8.0,1,1,117,0,1,7,1,59,0,0,25,15.0,15.0,25
SRC/dreadhb.c,166,91,0.5479999999999999,104,50,0.481,7,6,0.857,10,'6.57142857142857',35.8571428571429,4.14285714285714,2,1,90,0,7,15,2,101,0,0,106,63.0,9.0,106
SRC/dreadMM.c,106,0,0.0,56,0,0.0,1,0,0.0,0,3,99.5,4.5,2,2,185,0,2,4,4,40,0,0,107,39.0,19.5,107
SRC/dreadrb.c,164,0,0.0,98,0,0.0,7,0,0.0,2,'6.57142857142857',35.7142857142857,4.0,2,1,90,0,7,15,2,95,0,0,104,60.2,8.6,104
SRC/dreadtriple.c,65,0,0.0,24,0,0.0,2,0,0.0,2,3,63.5,4.0,2,2,113,0,2,4,4,35,0,0,44,21.0,10.5,44
SRC/dsnode_bmod.c,32,32,1.0,6,6,1.0,1,1,1.0,0,4,89.0,7.0,4,1,89,0,1,10,4,36,0,0,27,8.0,8.0,27
SRC/dsnode_dfs.c,42,35,0.833,20,14,0.7,1,1,1.0,0,12,67.0,8.0,2,1,67,0,1,7,2,47,0,0,27,11.0,11.0,27
SRC/dsp_blas2.c,200,175,0.875,140,96,0.6859999999999999,2,2,1.0,7,2,166.5,8.0,6,2,223,0,2,20,12,153,0,0,58,79.0,39.5,58
SRC/dsp_blas3.c,6,6,1.0,2,2,1.0,1,1,1.0,0,3,12.0,12.0,1,1,12,0,1,2,1,117,0,0,26,2.0,2.0,26
SRC/dutil.c,267,83,0.311,86,21,0.244,18,8,0.444,0,'4.22222222222222',21.3888888888889,5.5,5,18,48,0,18,92,90,50,0,0,113,61.2,3.4,113
SRC/dzsum1.c,16,10,0.625,10,4,0.4,1,1,1.0,1,7,50.0,3.0,1,1,50,0,1,2,1,47,0,0,2,6.0,6.0,2
SRC/get_perm_c.c,207,0,0.0,135,0,0.0,5,0,0.0,2,'14.8333333333333',72.0,6.83333333333333,4,1,130,0,6,21,4,164,0,0,129,91.0,18.2,129
SRC/heap_relax_snode.c,44,0,0.0,36,0,0.0,1,0,0.0,8,2,95.0,5.0,3,1,95,0,1,4,3,50,0,0,33,23.0,23.0,33
SRC/icmax1.c,29,16,0.552,14,7,0.5,1,1,1.0,1,12,66.0,3.0,0,1,66,0,1,1,0,48,0,0,28,8.0,8.0,28
SRC/ilu_ccolumn_dfs.c,106,0,0.0,52,0,0.0,1,0,0.0,2,2,206.0,11.0,3,1,206,0,1,8,3,85,0,0,28,27.0,27.0,28
SRC/ilu_ccopy_to_ucol.c,99,0,0.0,58,0,0.0,1,0,0.0,0,'15.5',89.5,9.5,5,2,178,0,2,17,10,25,0,0,33,37.0,18.5,33
SRC/ilu_cdrop_row.c,160,0,0.0,95,0,0.0,1,0,0.0,2,'3.33333333333333',50.1111111111111,4.88888888888889,2,9,298,0,9,18,18,44,0,0,48,59.0,29.5,48
SRC/ilu_cpanel_dfs.c,83,0,0.0,30,0,0.0,1,0,0.0,2,2,203.0,15.0,3,1,203,0,1,10,3,76,0,0,26,25.0,25.0,26
SRC/ilu_cpivotL.c,125,0,0.0,76,0,0.0,1,0,0.0,2,2,233.0,14.0,2,1,233,0,1,14,2,68,0,0,36,48.0,48.0,36
SRC/ilu_csnode_dfs.c,32,0,0.0,18,0,0.0,1,0,0.0,2,2,58.0,7.0,2,1,58,0,1,7,2,35,0,0,26,8.0,8.0,26
SRC/ilu_dcolumn_dfs.c,106,0,0.0,52,0,0.0,1,0,0.0,0,27,206.0,11.0,3,1,206,0,1,8,3,85,0,0,28,27.0,27.0,28
SRC/ilu_dcopy_to_ucol.c,95,0,0.0,54,0,0.0,1,0,0.0,1,'14.5',87.5,9.5,4,1,174,0,2,15,4,25,0,0,34,35.0,17.5,34
SRC/ilu_ddrop_row.c,159,0,0.0,95,0,0.0,1,0,0.0,2,10,55.0,4.875,2,2,289,0,8,24,4,44,0,0,45,59.0,29.5,45
SRC/ilu_dpanel_dfs.c,83,0,0.0,30,0,0.0,1,0,0.0,2,2,203.0,15.0,2,1,203,0,1,9,2,76,0,0,26,25.0,25.0,26
SRC/ilu_dpivotL.c,117,0,0.0,76,0,0.0,1,0,0.0,2,2,225.0,14.0,1,1,225,0,1,9,1,68,0,0,34,48.0,48.0,34
