filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NMC,NMCI,NMCE,WMC,AMC,NSM
modules/libfabric/prov/rstream/src/rstream_fabric.c,63,0,0.0,22,0,0.0,4,0,0.0,0,3,'22.25','2.5',1,4,'43',2,4,14,4,31,1119,0,1119,12.8,3.2,0
modules/libfabric/prov/rstream/src/rstream_init.c,92,0,0.0,22,0,0.0,8,0,0.0,0,'3.14285714285714','16.7142857142857','2.57142857142857',1,2,'48',3,7,17,2,33,0,0,18,16.8,2.4,18
modules/libfabric/prov/rstream/src/rstream_msg.c,429,0,0.0,170,0,0.0,38,0,0.0,0,'3.78947368421053',17,'2.23684210526316',1,4,'66',1,38,187,4,37,1,0,97,121.6,3.2,97
modules/libfabric/prov/rxd/src/rxd.h,66,0,0.0,14,0,0.0,19,0,0.0,11,'3.47887323943662','19.9577464788732','2.90140845070423',8,16,'71',127,71,497,128,0,1098,0,1098,27.3,1.3,0
modules/libfabric/prov/rxd/src/rxd_atomic.c,276,0,0.0,56,0,0.0,16,0,0.0,0,'3.9375',27,'9.5625',5,2,'62',1,16,70,10,31,1185,0,1185,43.2,2.7,0
modules/libfabric/prov/rxd/src/rxd_av.c,279,0,0.0,114,0,0.0,15,0,0.0,0,'5.73333333333333','25.9333333333333','3.8',2,9,'85',2,15,70,18,39,1201,0,1201,61.49999999999999,4.1,0
modules/libfabric/prov/rxd/src/rxd_cntr.c,60,0,0.0,38,0,0.0,3,0,0.0,0,'5.33333333333333','27.3333333333333',3,3,2,'45',0,3,9,6,31,1113,0,1113,20.1,6.7,0
modules/libfabric/prov/rxd/src/rxd_cq.c,837,0,0.0,387,0,0.0,44,0,0.0,5,'4.27272727272727','27.6818181818182','3.70454545454545',4,6,'64',2,44,429,24,40,1437,0,1437,202.4,4.6,0
modules/libfabric/prov/rxd/src/rxd_domain.c,67,0,0.0,20,0,0.0,3,0,0.0,0,'2.66666666666667','32.6666666666667','3.33333333333333',3,3,'68',3,3,25,9,31,1119,0,1119,11.1,3.7,0
modules/libfabric/prov/rxd/src/rxd_ep.c,781,0,0.0,275,0,0.0,53,0,0.0,6,'3.28301886792453','21.2641509433962','2.60377358490566',7,15,'78',3,53,408,105,35,1379,0,1379,169.60000000000002,3.2,0
modules/libfabric/prov/rxd/src/rxd_fabric.c,42,0,0.0,14,0,0.0,2,0,0.0,3,3,29,2,2,1,'41',2,2,12,2,31,1113,0,1113,8.0,4.0,0
modules/libfabric/prov/rxd/src/rxd_init.c,57,46,0.807,14,4,0.286,7,6,0.857,9,'2.22222222222222','8.44444444444444','2.44444444444444',1,6,'27',4,9,19,6,35,0,0,18,12.0,2.0,18
modules/libfabric/prov/rxd/src/rxd_msg.c,308,0,0.0,96,0,0.0,19,0,0.0,1,'4.52631578947368','24.8421052631579','5.52631578947368',5,2,'71',1,19,144,10,31,1197,0,1197,66.5,3.5,0
modules/libfabric/prov/rxd/src/rxd_rma.c,205,0,0.0,40,0,0.0,12,0,0.0,2,'4.16666666666667','24.9166666666667','7.58333333333333',4,1,'49',1,12,58,4,31,1156,0,1156,33.599999999999994,2.8,0
