filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NSM,NMC,NMCI,NMCE,WMC,AMC,function_total,function_covered,function_percent
fem/transfer.cpp,1234,0,0.0,2627,0,0.0,4,14.75,61.75,7.0,5,4,80,0,4,28,20,0,17872,0,0,17872,289.8,4.2,78,22,0.282
general/backends.hpp,4,0,0.0,0,0,,10,2.0,14.0,2.0,1,1,14,0,1,2,1,0,10633,0,0,10633,7.0,3.5,1,1,1.0
general/binaryio.cpp,39,0,0.0,28,0,0.0,3,3.71428571428571,11.1428571428571,1.85714285714286,4,7,28,2,7,18,28,0,10643,0,0,10643,15.0,5.0,3,2,0.667
general/cuda.cpp,26,0,0.0,0,0,,8,2.0,11.3076923076923,2.0,1,13,14,0,13,21,13,0,10636,0,0,10636,43.4,3.1,13,0,0.0
general/device.cpp,183,0,0.0,647,0,0.0,8,2.58333333333333,11.8333333333333,2.08333333333333,4,4,53,2,12,28,16,0,11772,0,0,11772,163.4,8.6,19,6,0.316
general/error.cpp,22,0,0.0,11,0,0.0,121,4.8,27.2,1.0,3,2,70,3,5,22,6,0,10910,0,0,10910,37.2,6.2,5,0,0.0
general/globals.cpp,11,0,0.0,18,0,0.0,153,2.0,5.5,2.5,0,2,7,2,2,2,0,0,10640,0,0,10640,7.0,1.4,3,2,0.667
general/globals.hpp,3,0,0.0,4,0,0.0,5,2.66666666666667,3.66666666666667,0.333333333333333,2,1,11,2,6,20,2,0,10314,0,0,10314,7.0,1.4,4,4,1.0
general/hash.cpp,104,0,0.0,10,0,0.0,1,3.16666666666667,7.16666666666667,2.5,2,4,11,0,6,17,8,0,11045,0,0,11045,23.4,1.8,12,7,0.583
general/hip.cpp,26,0,0.0,0,0,,6,2.0,11.3076923076923,2.0,1,13,14,0,13,21,13,0,10636,0,0,10636,43.4,3.1,13,0,0.0
general/optparser.cpp,233,0,0.0,174,0,0.0,1,6.75,31.25,1.5,2,3,65,0,4,8,6,0,10971,0,0,10971,91.3,8.3,11,7,0.636
general/osockstream.hpp,2,0,0.0,0,0,,3,2.33333333333333,3.66666666666667,0.666666666666667,2,3,9,0,3,5,6,0,10644,0,0,10644,2.0,1.0,2,0,0.0
general/stable3d.cpp,93,0,0.0,204,0,0.0,1,7.0,29.0,3.0,0,1,29,0,1,1,0,0,10955,0,0,10955,52.2,5.8,9,7,0.778
general/table.cpp,336,0,0.0,698,0,0.0,0,5.0,23.0,2.33333333333333,5,6,69,0,6,27,30,0,11025,0,0,11025,135.29999999999998,3.3,41,19,0.4629999999999999
general/text.hpp,15,0,0.0,22,0,0.0,10,2.75,7.75,1.5,0,4,12,0,4,4,0,0,10523,0,0,10523,8.0,2.0,4,4,1.0
general/version.cpp,14,0,0.0,0,0,,0,2.0,23.8571428571429,0.0,0,7,135,0,7,7,0,0,0,0,0,0,51.1,7.3,7,0,0.0
linalg/batched/gpu_blas.cpp,9,0,0.0,4,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,11015,0,0,11015,18.2,1.3,6,0,0.0
linalg/blockmatrix.cpp,327,0,0.0,968,0,0.0,0,7.0,27.0,1.5,6,2,37,0,2,23,12,0,11213,0,0,11213,143.0,5.5,26,19,0.731
linalg/blockmatrix.hpp,21,0,0.0,14,0,0.0,10,5.0,19.65625,1.625,7,4,79,6,32,166,28,0,11054,0,0,11054,19.200000000000003,1.6,11,7,0.636
linalg/blockvector.hpp,3,0,0.0,0,0,,31,2.80952380952381,8.57142857142857,1.14285714285714,4,3,34,3,21,100,12,0,10921,0,0,10921,4.0,1.0,3,3,1.0
linalg/complex_densemat.cpp,417,0,0.0,886,0,0.0,85,10.0,64.0,2.0,4,2,66,0,2,16,8,0,11778,0,0,11778,210.0,7.5,28,25,0.893
linalg/densemat.cpp,1658,0,0.0,4664,0,0.0,146,5.60526315789474,33.3421052631579,3.13157894736842,14,37,162,0,38,208,518,0,17298,0,0,17298,824.0999999999999,4.1,185,110,0.595
linalg/kernels.hpp,726,0,0.0,384,0,0.0,0,5.64150943396226,30.9433962264151,4.20754716981132,9,34,231,1,53,126,306,0,15963,0,0,15963,250.0,5.0,49,44,0.898
linalg/mma.cpp,548,0,0.0,356,0,0.0,1,20.0,106.0,3.0,0,1,106,0,1,1,0,0,11663,0,0,11663,145.5,9.7,12,12,1.0
linalg/sparsemat.cpp,1927,0,0.0,4758,0,0.0,3,5.17391304347826,31.1739130434783,2.47826086956522,14,23,127,0,23,116,322,0,13665,0,0,13665,750.3,6.1,132,80,0.606
